Name,State,Date
Fayetteville,Georgia,02/01/1902
Finleyson,Georgia,10/01/1904
Flippen,Georgia,09/01/1902
Flovilla,Georgia,08/01/1904
Flowery Branch,Georgia,07/15/1904
Forsyth,Georgia,04/01/1903
Fort Gaines,Georgia,08/01/1901
Fort Valley,Georgia,12/01/1902
Fortson,Georgia,12/15/1903
Fosters Mills,Georgia,09/15/1903
Franklin,Georgia,07/15/1903
Gabbettville,Georgia,07/01/1903
Gainesville,Georgia,06/01/1901
Geneva,Georgia,09/01/1904
Gentian,Georgia,05/16/1904
Georgetown,Georgia,11/01/1901
Gibson,Georgia,09/01/1903
Gillsville,Georgia,09/01/1903
Glenwood,Georgia,04/01/1904
Gordon,Georgia,12/01/1902
Gore,Georgia,04/01/1902
Grantville,Georgia,03/02/1903
Gray,Georgia,06/15/1904
